Barcode,Product Name,Brand,Category,Ingredients,Allergens,Cross-Contaminants,Calories (kcal),Proteins (g),Fat (g),Carbohydrates (g),Available In,Labels,Nutrition Grade
8901491103800,Oats,Quaker,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Flakes,Cereal flakes,Rolled flakes,Rolled oats",Rolled Oats Flakes,,,407,11.8,9.5,68.5,en:india,"en:vegetarian, en:green-dot-india",a
8906112580183,KIMEA DATES,AMS,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods,Fruits,Dates",DATES,,,285,1.61,0.54,63.77,en:india,"en:vegetarian, en:green-dot-india",unknown
8901030900303,International Mexican Tomato Corn Soup,Knorr,"Meals,Soups,Soup mixes","Sugar, Maize Starch, *Dehydrated Vegetables (Corn (5.7%), Onion, Cabbage, Leeks (0.6%)), Refined Wheat Flour (Maida), lodised salt, Tomato Paste Solids (6%), Hydrolyzed Vegetable Protein, Flavours - Natural (Garlic) and Nature Identical (Herbs) Flavouring Substances, Hydrogenated Palm Oil, Thickener - 415, Acidity Regulator - 330, Spices & Condiments (Chillies (0.6%)), Flavour Enhancer - 627 & 631, Red Beet Juice Powder (Anti caking agent - 551), Oleoresin Chilli.",en:gluten,"en:celery,en:milk,en:mustard,en:nuts,en:soybeans",42,0.8,0.4,9.1,en:india,"en:vegetarian, en:green-dot-india",c
8906020580084,id Organic Rice Rava Idly Batter,id,Idly batter mixes,"RO-PURIFIED WATER (55%), RICE RAVA (32%), URAD DAL AND IODISED SALT",,,135.43,5.61,0.99,26.02,en:india,"en:vegetarian, en:green-dot-india",a
8906117361008,Country Delight Cow Milk,Country Delight,"cow milk,milk",Cow Milk,,,84,3,6,4.5,en:india,"en:vegetarian, en:green-dot-india",d
8901719126376,kaccha mango,parle,hard candy,"SUGAR, LIQUID GLUCOSE AND ACIDITY REGULATORS [270, 296, 330, 331(iii)]. CONTAINS PERMITTED SYNTHETIC FOOD COLOURS (102, 133) AND ADDED FLAVOUR NATURE IDENTICAL FLAVOURING SUBSTANCES - RAW MANGO)",,,380,0,0,95.1,en:india,,e
8901063363809,Gobbless Choco Chill Cake,Britannia,"Snacks, Desserts, Sweet snacks, Biscuits and cakes, Cakes, Chocolate soft cake",,,,428,6,20,56,en:india,"en:non-vegetarian, en:brown-triangle-india",unknown
8901058897838,Maggi,Nestlé,"Dried products,Noodles,Instant noodles",,,,384,8,13.5,57.7,en:india,,unknown
3760010130667,Biere abbaye St Erwann 7°,Britt,"Boissons,Boissons alcoolisées,Bières,Ales,Lagers,Produits artisanaux,en:Country specific beers,Alcools artisanaux,Bières françaises,Bières d'abbayes,Bières bretonnes,Bières artisanales,Bières blondes","Eau, malt d'_orge_, malt de _froment_, _millet_, _avoine_, sarrasin, _épeautre_, _seigle_, houblon, épices, levures.","en:gluten,fr:Avoine,fr:Millet",,46,0.6,2.2,2.2,"en:france, en:india","en:not-advised-for-specific-people, en:green-dot, en:not-advised-for-pregnant-women, en:produced-in-brittany, fr:triman",not-applicable
8906009077420,Pineapple cookies (sugar free),UNIBIC,en:biscuits,No ingredients available,,,507,4.19999980926514,25.1000003814697,66,en:india,,unknown
8906014140164,Fruit Nik ELECTRO REHYDRATE ORANGE DRINK,"Fruit Nik,Amrutanjan","Beverages and beverages preparations, Plant-based foods and beverages, Beverages, Plant-based beverages, Fruit-based beverages, Juices and nectars, Fruit juices, Orange juices, en:sweetened-beverages","WATER, SUGAR, DEXTROSE, ORANGE JUICE (10%) (RECONSTITUTED FROM ORANGE JUICE CONCENTRATE], TRI SODIUM CITRATE, POTASSIUM CHLORIDE, SODIUM CHLORIDE, ACIDITY REGULATOR [INS 330], ASCORBIC ACID (VITAMIN C), FLAVOURS (NATURAL, NATURE-IDENTICAL, ARTIFICIAL FLAVOURING SUBSTANCES (ORANGE)), COLOURS (INS 160a, INS 110] AND PRESERVATIVE INS 211).",,,50,0,0,13,en:india,"en:vegetarian, en:green-dot-india",e
8906177460079,Shivabala coconut oil,Shivabala,"Plant-based foods and beverages,Plant-based foods,Fats,Vegetable fats,Vegetable oils,Fruit and fruit seed oils,Coconut oils,Oils",Coconut Oil,,,899.19,0,99.91,0,en:india,"en:vegetarian, en:green-dot-india",e
8906033743155,Orange Creams,Mc Vitie's,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits,Filled biscuits,Biscuits with nuts,Biscuits with cream","Refined Wheat Flour (Maida), Sugar, Edible Vegetable Oil(Palm Oil), Hydrogenated Vegetable Oil, Liquid Glucose, Starch, Invert Sugar Syrup Raising Agents [INS 503), INS 500, Calcium Carbonate (0.6%), lodised Salt, Emulsifier (INS 322, INS 471, INS 472e). Nature Identical Flavouring Substances And Artificial Flavouring Substances (Milk), Orange Powder (0.1%). Natural Colour (S) [INS 100(1), INS 160b] And Synthetic Food Colours (INS 110, INS 102).","en:gluten,en:milk",,461,6.1,15.5,74.3,en:india,"en:vegetarian, en:contains-gluten, en:contains-milk, en:contains-soy, en:green-dot-india, en:contains-calcium, en:contains-sulphite, en:contains-nuts",e
8901071702201,HERSHEY'S EXOTIC DARK,Hershey's,"Snacks,Sweet snacks,Cocoa and its products,Chocolates,Filled chocolates","Sugar, Liquid Glucose, Cocoa Solids (13%), Cocoa Butter, Fruit Pulp (5.6%) (Papaya (5.35%), Raspberry (0.14%), Goji (0.14%)), Stabilizers (440,414,331 (iii),1400), Milk Solids, Acidity Regulator (296), Flavours [Nature Identical & Artificial Flavouring Substances (Raspberry, Vanilla and Green Apple)], Emulsifier (322(i)), Edible Common Salt, Synthetic Food Colours (122,102,133) and Glazing Agent (904).",en:milk,,453,1.74,13.7,80.5,en:india,en:vegetarian,e
